AnoAtendimento;TrimestreAtendimento;MesAtendimento;DataAtendimento;CodigoRegiao;Regiao;UF;CodigoTipoAtendimento;CodigoAssunto;GrupoAssunto;CodigoProblema;GrupoProblema;SexoConsumidor;FaixaEtariaConsumidor;TipoFornecedor;RazaoSocialSindec;NomeFantasiaSindec
2015;1;1;2015-01-27 13:20:56.000;5;Centro-oeste;DF;2;259;TV por Assinatura;194;Problemas com Cobrança;F;entre 31 a 40 anos;1;CLARO S/A;CLARO
2015;1;1;2015-01-27 10:00:56.000;5;Centro-oeste;GO;6;137;Internet;114;Problemas na Entrega de Produtos;M;Nao Informada;1;KANUI COMERCIO VAREJISTA LTDA;KANUI
2015;1;3;2015-03-09 07:52:12.000;3;Sudeste;SP;3;186;Telefonia Fixa;134;Problemas com Cobrança;F;mais de 70 anos;1;TELEFONICA BRASIL S/A;VIVO/TELEFÔNICA
2015;1;3;2015-03-03 13:05:23.000;3;Sudeste;RJ;3;102;Microcomputador / Produtos de Informática;105;Vício ou Má Qualidade de Produto ou Serviço;M;Nao Informada;1;GLOBALK TECNOLOGIA INFORMATICA LTDA;
2015;1;1;2015-01-23 11:40:07.000;4;Sul;PR;2;288;Máquinas e Equipamentos;105;Vício ou Má Qualidade de Produto ou Serviço;M;Nao Informada;1;HAVAN LOJAS DE DEPARTAMENTOS LTDA - PAROLIN;HAVAN LOJAS DE DEPARTAMENTOS LTDA - PAROLIN
2015;1;3;2015-03-26 16:15:07.000;3;Sudeste;SP;3;259;TV por Assinatura;194;Problemas com Cobrança;F;Nao Informada;1;SKY BRASIL SERVICOS LTDA;SKY
2015;1;3;2015-03-25 10:00:05.000;3;Sudeste;SP;2;101;Aparelho Celular;105;Vício ou Má Qualidade de Produto ou Serviço;F;entre 31 a 40 anos;1;SONY MOBILE COMMUNICATIONS DO BRASIL LTDA;SONY ERICSSON
2015;1;3;2015-03-26 16:03:30.000;3;Sudeste;SP;3;187;Telefonia Celular;134;Problemas com Cobrança;F;mais de 70 anos;1;TIM CELULAR S.A.;TIM
2015;1;1;2015-01-09 17:15:07.000;2;Nordeste;BA;3;103;Artigo de Cozinha ( Coifa, Exaustor, Panela, Talher, Filtro de Café, Porta-Filtro, Louças, Etc. );105;Vício ou Má Qualidade de Produto ou Serviço;M;entre 21 a 30 anos;1;ELECTROLUX DO BRASIL S/A;ELECTROLUX
2015;1;3;2015-03-05 11:04:18.000;3;Sudeste;ES;3;279;Internet (Serviços);203;Problemas com Contrato;M;entre 61 a 70 anos;1;VIPREDE TELECOMUNICAÇÕES LTDA;VIPREDE CONEXÕES DIGITAIS
